,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"31-1/4"" x 31-1/4""",31.25,31.25,ACW2828,Fiberglass and Fibrex clad wood casement window,3,2,3,2
"31-1/4"" x 35-1/4""",31.25,35.25,ACW2830,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"31-1/4"" x 39-1/4""",31.25,39.25,ACW2834,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"31-1/4"" x 43-1/4""",31.25,43.25,ACW2838,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"31-1/4"" x 47-1/4""",31.25,47.25,ACW2840,Fiberglass and Fibrex clad wood casement window,3,4,3,4
"31-1/4"" x 51-1/4""",31.25,51.25,ACW2844,Fiberglass and Fibrex clad wood casement window,3,4,3,4
"31-1/4"" x 55-1/4""",31.25,55.25,ACW2848,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"31-1/4"" x 59-1/4""",31.25,59.25,ACW2850,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"31-1/4"" x 63-1/4""",31.25,63.25,ACW2854,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"31-1/4"" x 67-1/4""",31.25,67.25,ACW2858,Fiberglass and Fibrex clad wood casement window,3,6,3,6
"31-1/4"" x 71-1/4""",31.25,71.25,ACW2860,Fiberglass and Fibrex clad wood casement window,3,6,3,6
"33-1/4"" x 31-1/4""",33.25,31.25,ACW21028,Fiberglass and Fibrex clad wood casement window,3,2,3,2
"33-1/4"" x 35-1/4""",33.25,35.25,ACW21030,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"33-1/4"" x 39-1/4""",33.25,39.25,ACW21034,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"33-1/4"" x 43-1/4""",33.25,43.25,ACW21038,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"33-1/4"" x 47-1/4""",33.25,47.25,ACW21040,Fiberglass and Fibrex clad wood casement window,3,4,3,4
"33-1/4"" x 51-1/4""",33.25,51.25,ACW21044,Fiberglass and Fibrex clad wood casement window,3,4,3,4
"33-1/4"" x 55-1/4""",33.25,55.25,ACW21048,Fiberglass and Fibrex clad wood casement window,3,5,3,5
