,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"27-1/4"" x 59-1/4""",27.25,59.25,APW2450,Fibrex clad wood picture window,2,5,2,5
"27-1/4"" x 63-1/4""",27.25,63.25,APW2454,Fibrex clad wood picture window,2,5,2,5
"27-1/4"" x 67-1/4""",27.25,67.25,APW2458,Fibrex clad wood picture window,2,6,2,6
"27-1/4"" x 71-1/4""",27.25,71.25,APW2460,Fibrex clad wood picture window,2,6,2,6
"27-1/4"" x 75-1/4""",27.25,75.25,APW2464,Fibrex clad wood picture window,2,6,2,6
"27-1/4"" x 79-1/4""",27.25,79.25,APW2468,Fibrex clad wood picture window,2,6,2,6
"27-1/4"" x 87-1/4""",27.25,87.25,APW2474,Fibrex clad wood picture window,2,7,2,7
"27-1/4"" x 95-1/4""",27.25,95.25,APW2480,Fibrex clad wood picture window,2,7,2,7
"29-1/4"" x 23-1/4""",29.25,23.25,APW2620,Fibrex clad wood picture window,3,2,3,2
"29-1/4"" x 27-1/4""",29.25,27.25,APW2624,Fibrex clad wood picture window,3,2,3,2
"29-1/4"" x 31-1/4""",29.25,31.25,APW2628,Fibrex clad wood picture window,3,2,3,2
"29-1/4"" x 35-1/4""",29.25,35.25,APW2630,Fibrex clad wood picture window,3,3,3,3
"29-1/4"" x 39-1/4""",29.25,39.25,APW2634,Fibrex clad wood picture window,3,3,3,3
"29-1/4"" x 43-1/4""",29.25,43.25,APW2638,Fibrex clad wood picture window,3,3,3,3
"29-1/4"" x 47-1/4""",29.25,47.25,APW2640,Fibrex clad wood picture window,3,4,3,4
"29-1/4"" x 51-1/4""",29.25,51.25,APW2644,Fibrex clad wood picture window,3,4,3,4
"29-1/4"" x 55-1/4""",29.25,55.25,APW2648,Fibrex clad wood picture window,3,5,3,5
"29-1/4"" x 59-1/4""",29.25,59.25,APW2650,Fibrex clad wood picture window,3,5,3,5
"29-1/4"" x 63-1/4""",29.25,63.25,APW2654,Fibrex clad wood picture window,3,5,3,5
"29-1/4"" x 67-1/4""",29.25,67.25,APW2658,Fibrex clad wood picture window,3,6,3,6
"29-1/4"" x 71-1/4""",29.25,71.25,APW2660,Fibrex clad wood picture window,3,6,3,6
"29-1/4"" x 75-1/4""",29.25,75.25,APW2664,Fibrex clad wood picture window,3,6,3,6
"29-1/4"" x 79-1/4""",29.25,79.25,APW2668,Fibrex clad wood picture window,3,6,3,6
"29-1/4"" x 87-1/4""",29.25,87.25,APW2674,Fibrex clad wood picture window,3,7,3,7
"29-1/4"" x 95-1/4""",29.25,95.25,APW2680,Fibrex clad wood picture window,3,7,3,7
"31-1/4"" x 23-1/4""",31.25,23.25,APW2820,Fibrex clad wood picture window,3,2,3,2
"31-1/4"" x 27-1/4""",31.25,27.25,APW2824,Fibrex clad wood picture window,3,2,3,2
"31-1/4"" x 31-1/4""",31.25,31.25,APW2828,Fibrex clad wood picture window,3,2,3,2
"31-1/4"" x 35-1/4""",31.25,35.25,APW2830,Fibrex clad wood picture window,3,3,3,3
"31-1/4"" x 39-1/4""",31.25,39.25,APW2834,Fibrex clad wood picture window,3,3,3,3
"31-1/4"" x 43-1/4""",31.25,43.25,APW2838,Fibrex clad wood picture window,3,3,3,3
"31-1/4"" x 47-1/4""",31.25,47.25,APW2840,Fibrex clad wood picture window,3,4,3,4
"31-1/4"" x 51-1/4""",31.25,51.25,APW2844,Fibrex clad wood picture window,3,4,3,4
"31-1/4"" x 55-1/4""",31.25,55.25,APW2848,Fibrex clad wood picture window,3,5,3,5
"31-1/4"" x 59-1/4""",31.25,59.25,APW2850,Fibrex clad wood picture window,3,5,3,5
"31-1/4"" x 63-1/4""",31.25,63.25,APW2854,Fibrex clad wood picture window,3,5,3,5
"31-1/4"" x 67-1/4""",31.25,67.25,APW2858,Fibrex clad wood picture window,3,6,3,6
"31-1/4"" x 71-1/4""",31.25,71.25,APW2860,Fibrex clad wood picture window,3,6,3,6
"31-1/4"" x 75-1/4""",31.25,75.25,APW2864,Fibrex clad wood picture window,3,6,3,6
"31-1/4"" x 79-1/4""",31.25,79.25,APW2868,Fibrex clad wood picture window,3,6,3,6
"31-1/4"" x 87-1/4""",31.25,87.25,APW2874,Fibrex clad wood picture window,3,7,3,7
"31-1/4"" x 95-1/4""",31.25,95.25,APW2880,Fibrex clad wood picture window,3,7,3,7
"33-1/4"" x 23-1/4""",33.25,23.25,APW21020,Fibrex clad wood picture window,3,2,3,2
"33-1/4"" x 27-1/4""",33.25,27.25,APW21024,Fibrex clad wood picture window,3,2,3,2
"33-1/4"" x 31-1/4""",33.25,31.25,APW21028,Fibrex clad wood picture window,3,2,3,2
"33-1/4"" x 35-1/4""",33.25,35.25,APW21030,Fibrex clad wood picture window,3,3,3,3
"33-1/4"" x 39-1/4""",33.25,39.25,APW21034,Fibrex clad wood picture window,3,3,3,3
"33-1/4"" x 43-1/4""",33.25,43.25,APW21038,Fibrex clad wood picture window,3,3,3,3
"33-1/4"" x 47-1/4""",33.25,47.25,APW21040,Fibrex clad wood picture window,3,4,3,4
"33-1/4"" x 51-1/4""",33.25,51.25,APW21044,Fibrex clad wood picture window,3,4,3,4
"33-1/4"" x 55-1/4""",33.25,55.25,APW21048,Fibrex clad wood picture window,3,5,3,5
"33-1/4"" x 59-1/4""",33.25,59.25,APW21050,Fibrex clad wood picture window,3,5,3,5
"33-1/4"" x 63-1/4""",33.25,63.25,APW21054,Fibrex clad wood picture window,3,5,3,5
"33-1/4"" x 67-1/4""",33.25,67.25,APW21058,Fibrex clad wood picture window,3,6,3,6
"33-1/4"" x 71-1/4""",33.25,71.25,APW21060,Fibrex clad wood picture window,3,6,3,6
"33-1/4"" x 75-1/4""",33.25,75.25,APW21064,Fibrex clad wood picture window,3,6,3,6
"33-1/4"" x 79-1/4""",33.25,79.25,APW21068,Fibrex clad wood picture window,3,6,3,6
"33-1/4"" x 87-1/4""",33.25,87.25,APW21074,Fibrex clad wood picture window,3,7,3,7
"33-1/4"" x 95-1/4""",33.25,95.25,APW21080,Fibrex clad wood picture window,3,7,3,7
"35-1/4"" x 23-1/4""",35.25,23.25,APW3020,Fibrex clad wood picture window,3,2,3,2
"35-1/4"" x 27-1/4""",35.25,27.25,APW3024,Fibrex clad wood picture window,3,2,3,2
"35-1/4"" x 31-1/4""",35.25,31.25,APW3028,Fibrex clad wood picture window,3,2,3,2
"35-1/4"" x 35-1/4""",35.25,35.25,APW3030,Fibrex clad wood picture window,3,3,3,3
"35-1/4"" x 39-1/4""",35.25,39.25,APW3034,Fibrex clad wood picture window,3,3,3,3
"35-1/4"" x 43-1/4""",35.25,43.25,APW3038,Fibrex clad wood picture window,3,3,3,3
"35-1/4"" x 47-1/4""",35.25,47.25,APW3040,Fibrex clad wood picture window,3,4,3,4
"35-1/4"" x 51-1/4""",35.25,51.25,APW3044,Fibrex clad wood picture window,3,4,3,4
"35-1/4"" x 55-1/4""",35.25,55.25,APW3048,Fibrex clad wood picture window,3,5,3,5
"35-1/4"" x 59-1/4""",35.25,59.25,APW3050,Fibrex clad wood picture window,3,5,3,5
"35-1/4"" x 63-1/4""",35.25,63.25,APW3054,Fibrex clad wood picture window,3,5,3,5
"35-1/4"" x 67-1/4""",35.25,67.25,APW3058,Fibrex clad wood picture window,3,6,3,6
"35-1/4"" x 71-1/4""",35.25,71.25,APW3060,Fibrex clad wood picture window,3,6,3,6
"35-1/4"" x 75-1/4""",35.25,75.25,APW3064,Fibrex clad wood picture window,3,6,3,6
"35-1/4"" x 79-1/4""",35.25,79.25,APW3068,Fibrex clad wood picture window,3,6,3,6
"35-1/4"" x 87-1/4""",35.25,87.25,APW3074,Fibrex clad wood picture window,3,7,3,7
"35-1/4"" x 95-1/4""",35.25,95.25,APW3080,Fibrex clad wood picture window,3,7,3,7
"37-1/4"" x 23-1/4""",37.25,23.25,APW3220,Fibrex clad wood picture window,4,2,4,2
"37-1/4"" x 27-1/4""",37.25,27.25,APW3224,Fibrex clad wood picture window,4,2,4,2
"37-1/4"" x 31-1/4""",37.25,31.25,APW3228,Fibrex clad wood picture window,4,2,4,2
"37-1/4"" x 35-1/4""",37.25,35.25,APW3230,Fibrex clad wood picture window,4,3,4,3
"37-1/4"" x 39-1/4""",37.25,39.25,APW3234,Fibrex clad wood picture window,4,3,4,3
"37-1/4"" x 43-1/4""",37.25,43.25,APW3238,Fibrex clad wood picture window,4,3,4,3
"37-1/4"" x 47-1/4""",37.25,47.25,APW3240,Fibrex clad wood picture window,4,4,4,4
"37-1/4"" x 51-1/4""",37.25,51.25,APW3244,Fibrex clad wood picture window,4,4,4,4
"37-1/4"" x 55-1/4""",37.25,55.25,APW3248,Fibrex clad wood picture window,4,5,4,5
"37-1/4"" x 59-1/4""",37.25,59.25,APW3250,Fibrex clad wood picture window,4,5,4,5
"37-1/4"" x 63-1/4""",37.25,63.25,APW3254,Fibrex clad wood picture window,4,5,4,5
"37-1/4"" x 67-1/4""",37.25,67.25,APW3258,Fibrex clad wood picture window,4,6,4,6
"37-1/4"" x 71-1/4""",37.25,71.25,APW3260,Fibrex clad wood picture window,4,6,4,6
"37-1/4"" x 75-1/4""",37.25,75.25,APW3264,Fibrex clad wood picture window,4,6,4,6
"37-1/4"" x 79-1/4""",37.25,79.25,APW3268,Fibrex clad wood picture window,4,6,4,6
"37-1/4"" x 87-1/4""",37.25,87.25,APW3274,Fibrex clad wood picture window,4,7,4,7
"37-1/4"" x 95-1/4""",37.25,95.25,APW3280,Fibrex clad wood picture window,4,7,4,7
"39-1/4"" x 23-1/4""",39.25,23.25,APW3420,Fibrex clad wood picture window,4,2,4,2
"39-1/4"" x 27-1/4""",39.25,27.25,APW3424,Fibrex clad wood picture window,4,2,4,2
"39-1/4"" x 31-1/4""",39.25,31.25,APW3428,Fibrex clad wood picture window,4,2,4,2
"39-1/4"" x 35-1/4""",39.25,35.25,APW3430,Fibrex clad wood picture window,4,3,4,3
"39-1/4"" x 39-1/4""",39.25,39.25,APW3434,Fibrex clad wood picture window,4,3,4,3
"39-1/4"" x 43-1/4""",39.25,43.25,APW3438,Fibrex clad wood picture window,4,3,4,3
"39-1/4"" x 47-1/4""",39.25,47.25,APW3440,Fibrex clad wood picture window,4,4,4,4
"39-1/4"" x 51-1/4""",39.25,51.25,APW3444,Fibrex clad wood picture window,4,4,4,4
"39-1/4"" x 55-1/4""",39.25,55.25,APW3448,Fibrex clad wood picture window,4,5,4,5
"39-1/4"" x 59-1/4""",39.25,59.25,APW3450,Fibrex clad wood picture window,4,5,4,5
"39-1/4"" x 63-1/4""",39.25,63.25,APW3454,Fibrex clad wood picture window,4,5,4,5
"39-1/4"" x 67-1/4""",39.25,67.25,APW3458,Fibrex clad wood picture window,4,6,4,6
"39-1/4"" x 71-1/4""",39.25,71.25,APW3460,Fibrex clad wood picture window,4,6,4,6
"39-1/4"" x 75-1/4""",39.25,75.25,APW3464,Fibrex clad wood picture window,4,6,4,6
"39-1/4"" x 79-1/4""",39.25,79.25,APW3468,Fibrex clad wood picture window,4,6,4,6
"39-1/4"" x 87-1/4""",39.25,87.25,APW3474,Fibrex clad wood picture window,4,7,4,7
"39-1/4"" x 95-1/4""",39.25,95.25,APW3480,Fibrex clad wood picture window,4,7,4,7
"43-1/4"" x 23-1/4""",43.25,23.25,APW3820,Fibrex clad wood picture window,4,2,4,2
"43-1/4"" x 27-1/4""",43.25,27.25,APW3824,Fibrex clad wood picture window,4,2,4,2
"43-1/4"" x 31-1/4""",43.25,31.25,APW3828,Fibrex clad wood picture window,4,2,4,2
"43-1/4"" x 35-1/4""",43.25,35.25,APW3830,Fibrex clad wood picture window,4,3,4,3
"43-1/4"" x 39-1/4""",43.25,39.25,APW3834,Fibrex clad wood picture window,4,3,4,3
"43-1/4"" x 43-1/4""",43.25,43.25,APW3838,Fibrex clad wood picture window,4,3,4,3
"43-1/4"" x 47-1/4""",43.25,47.25,APW3840,Fibrex clad wood picture window,4,4,4,4
"43-1/4"" x 51-1/4""",43.25,51.25,APW3844,Fibrex clad wood picture window,4,4,4,4
"43-1/4"" x 55-1/4""",43.25,55.25,APW3848,Fibrex clad wood picture window,4,5,4,5
"43-1/4"" x 59-1/4""",43.25,59.25,APW3850,Fibrex clad wood picture window,4,5,4,5
"43-1/4"" x 63-1/4""",43.25,63.25,APW3854,Fibrex clad wood picture window,4,5,4,5
"43-1/4"" x 67-1/4""",43.25,67.25,APW3858,Fibrex clad wood picture window,4,6,4,6
"43-1/4"" x 71-1/4""",43.25,71.25,APW3860,Fibrex clad wood picture window,4,6,4,6
