,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"37-1/4"" x 15-1/4""",37.25,15.25,ATV3214,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"37-1/4"" x 19-1/4""",37.25,19.25,ATV3218,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"37-1/4"" x 21-1/4""",37.25,21.25,ATV32110,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"37-1/4"" x 23-1/4""",37.25,23.25,ATV3220,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"37-1/4"" x 27-1/4""",37.25,27.25,ATV3224,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"37-1/4"" x 31-1/4""",37.25,31.25,ATV3228,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"37-1/4"" x 35-1/4""",37.25,35.25,ATV3230,Fiberglass and Fibrex clad wood venting tansom window,4,3,4,3
"39-1/4"" x 15-1/4""",39.25,15.25,ATV3414,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"39-1/4"" x 19-1/4""",39.25,19.25,ATV3418,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"39-1/4"" x 21-1/4""",39.25,21.25,ATV34110,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"39-1/4"" x 23-1/4""",39.25,23.25,ATV3420,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"39-1/4"" x 27-1/4""",39.25,27.25,ATV3424,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"39-1/4"" x 31-1/4""",39.25,31.25,ATV3428,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"39-1/4"" x 35-1/4""",39.25,35.25,ATV3430,Fiberglass and Fibrex clad wood venting tansom window,4,3,4,3
