,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"37-1/4"" x 23-1/4""",37.25,23.25,AAN3220,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"37-1/4"" x 27-1/4""",37.25,27.25,AAN3224,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"37-1/4"" x 31-1/4""",37.25,31.25,AAN3228,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"37-1/4"" x 35-1/4""",37.25,35.25,AAN3230,Fiberglass and Fibrex clad wood awning window,4,3,4,3
"39-1/4"" x 15-1/4""",39.25,15.25,AAN3414,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"39-1/4"" x 19-1/4""",39.25,19.25,AAN3418,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"39-1/4"" x 21-1/4""",39.25,21.25,AAN34110,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"39-1/4"" x 23-1/4""",39.25,23.25,AAN3420,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"39-1/4"" x 27-1/4""",39.25,27.25,AAN3424,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"39-1/4"" x 31-1/4""",39.25,31.25,AAN3428,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"39-1/4"" x 35-1/4""",39.25,35.25,AAN3430,Fiberglass and Fibrex clad wood awning window,4,3,4,3
"43-1/4"" x 15-1/4""",43.25,15.25,AAN3814,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"43-1/4"" x 19-1/4""",43.25,19.25,AAN3818,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"43-1/4"" x 21-1/4""",43.25,21.25,AAN38110,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"43-1/4"" x 23-1/4""",43.25,23.25,AAN3820,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"43-1/4"" x 27-1/4""",43.25,27.25,AAN3824,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"43-1/4"" x 31-1/4""",43.25,31.25,AAN3828,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"43-1/4"" x 35-1/4""",43.25,35.25,AAN3830,Fiberglass and Fibrex clad wood awning window,4,3,4,3
"47-1/4"" x 15-1/4""",47.25,15.25,AAN4014,Fiberglass and Fibrex clad wood awning window,5,1,5,1
"47-1/4"" x 19-1/4""",47.25,19.25,AAN4018,Fiberglass and Fibrex clad wood awning window,5,1,5,1
"47-1/4"" x 21-1/4""",47.25,21.25,AAN40110,Fiberglass and Fibrex clad wood awning window,5,1,5,1
"47-1/4"" x 23-1/4""",47.25,23.25,AAN4020,Fiberglass and Fibrex clad wood awning window,5,2,5,2
"47-1/4"" x 27-1/4""",47.25,27.25,AAN4024,Fiberglass and Fibrex clad wood awning window,5,2,5,2
"47-1/4"" x 31-1/4""",47.25,31.25,AAN4028,Fiberglass and Fibrex clad wood awning window,5,2,5,2
"47-1/4"" x 35-1/4""",47.25,35.25,AAN4030,Fiberglass and Fibrex clad wood awning window,5,3,5,3
"51-1/4"" x 15-1/4""",51.25,15.25,AAN4414,Fiberglass and Fibrex clad wood awning window,5,1,5,1
"51-1/4"" x 19-1/4""",51.25,19.25,AAN4418,Fiberglass and Fibrex clad wood awning window,5,1,5,1
"51-1/4"" x 21-1/4""",51.25,21.25,AAN44110,Fiberglass and Fibrex clad wood awning window,5,1,5,1
"51-1/4"" x 23-1/4""",51.25,23.25,AAN4420,Fiberglass and Fibrex clad wood awning window,5,2,5,2
"51-1/4"" x 27-1/4""",51.25,27.25,AAN4424,Fiberglass and Fibrex clad wood awning window,5,2,5,2
"51-1/4"" x 31-1/4""",51.25,31.25,AAN4428,Fiberglass and Fibrex clad wood awning window,5,2,5,2
"51-1/4"" x 35-1/4""",51.25,35.25,AAN4430,Fiberglass and Fibrex clad wood awning window,5,3,5,3
"55-1/4"" x 15-1/4""",55.25,15.25,AAN4814,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"55-1/4"" x 19-1/4""",55.25,19.25,AAN4818,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"55-1/4"" x 21-1/4""",55.25,21.25,AAN48110,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"55-1/4"" x 23-1/4""",55.25,23.25,AAN4820,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"55-1/4"" x 27-1/4""",55.25,27.25,AAN4824,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"55-1/4"" x 31-1/4""",55.25,31.25,AAN4828,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"55-1/4"" x 35-1/4""",55.25,35.25,AAN4830,Fiberglass and Fibrex clad wood awning window,6,3,6,3
"59-1/4"" x 15-1/4""",59.25,15.25,AAN5014,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"59-1/4"" x 19-1/4""",59.25,19.25,AAN5018,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"59-1/4"" x 21-1/4""",59.25,21.25,AAN50110,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"59-1/4"" x 23-1/4""",59.25,23.25,AAN5020,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"59-1/4"" x 27-1/4""",59.25,27.25,AAN5024,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"59-1/4"" x 31-1/4""",59.25,31.25,AAN5028,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"59-1/4"" x 35-1/4""",59.25,35.25,AAN5030,Fiberglass and Fibrex clad wood awning window,6,3,6,3
"63-1/4"" x 15-1/4""",63.25,15.25,AAN5414,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"63-1/4"" x 19-1/4""",63.25,19.25,AAN5418,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"63-1/4"" x 21-1/4""",63.25,21.25,AAN54110,Fiberglass and Fibrex clad wood awning window,6,1,6,1
"63-1/4"" x 23-1/4""",63.25,23.25,AAN5420,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"63-1/4"" x 27-1/4""",63.25,27.25,AAN5424,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"63-1/4"" x 31-1/4""",63.25,31.25,AAN5428,Fiberglass and Fibrex clad wood awning window,6,2,6,2
"63-1/4"" x 35-1/4""",63.25,35.25,AAN5430,Fiberglass and Fibrex clad wood awning window,6,3,6,3
"67-1/4"" x 15-1/4""",67.25,15.25,AAN5814,Fiberglass and Fibrex clad wood awning window,7,1,7,1
"67-1/4"" x 19-1/4""",67.25,19.25,AAN5818,Fiberglass and Fibrex clad wood awning window,7,1,7,1
"67-1/4"" x 21-1/4""",67.25,21.25,AAN58110,Fiberglass and Fibrex clad wood awning window,7,1,7,1
"67-1/4"" x 23-1/4""",67.25,23.25,AAN5820,Fiberglass and Fibrex clad wood awning window,7,2,7,2
"67-1/4"" x 27-1/4""",67.25,27.25,AAN5824,Fiberglass and Fibrex clad wood awning window,7,2,7,2
"67-1/4"" x 31-1/4""",67.25,31.25,AAN5828,Fiberglass and Fibrex clad wood awning window,7,2,7,2
"67-1/4"" x 35-1/4""",67.25,35.25,AAN5830,Fiberglass and Fibrex clad wood awning window,7,3,7,3
"71-1/4"" x 15-1/4""",71.25,15.25,AAN6014,Fiberglass and Fibrex clad wood awning window,7,1,7,1
"71-1/4"" x 19-1/4""",71.25,19.25,AAN6018,Fiberglass and Fibrex clad wood awning window,7,1,7,1
"71-1/4"" x 21-1/4""",71.25,21.25,AAN60110,Fiberglass and Fibrex clad wood awning window,7,1,7,1
"71-1/4"" x 23-1/4""",71.25,23.25,AAN6020,Fiberglass and Fibrex clad wood awning window,7,2,7,2
"71-1/4"" x 27-1/4""",71.25,27.25,AAN6024,Fiberglass and Fibrex clad wood awning window,7,2,7,2
"71-1/4"" x 31-1/4""",71.25,31.25,AAN6028,Fiberglass and Fibrex clad wood awning window,7,2,7,2
"71-1/4"" x 35-1/4""",71.25,35.25,AAN6030,Fiberglass and Fibrex clad wood awning window,7,3,7,3
