,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"29-1/4"" x 35-1/4""",29.25,35.25,ATF2630,Fibrex clad wood tansom window,3,3,3,3
"29-1/4"" x 39-1/4""",29.25,39.25,ATF2634,Fibrex clad wood tansom window,3,3,3,3
"31-1/4"" x 11-1/4""",31.25,11.25,ATF2810,Fibrex clad wood tansom window,3,1,3,1
"31-1/4"" x 15-1/4""",31.25,15.25,ATF2814,Fibrex clad wood tansom window,3,1,3,1
"31-1/4"" x 17-1/4""",31.25,17.25,ATF2816,Fibrex clad wood tansom window,3,1,3,1
"31-1/4"" x 19-1/4""",31.25,19.25,ATF2818,Fibrex clad wood tansom window,3,1,3,1
"31-1/4"" x 21-1/4""",31.25,21.25,ATF28110,Fibrex clad wood tansom window,3,1,3,1
"31-1/4"" x 23-1/4""",31.25,23.25,ATF2820,Fibrex clad wood tansom window,3,2,3,2
"31-1/4"" x 25-1/4""",31.25,25.25,ATF2822,Fibrex clad wood tansom window,3,2,3,2
"31-1/4"" x 27-1/4""",31.25,27.25,ATF2824,Fibrex clad wood tansom window,3,2,3,2
"31-1/4"" x 29-1/4""",31.25,29.25,ATF2826,Fibrex clad wood tansom window,3,2,3,2
"31-1/4"" x 31-1/4""",31.25,31.25,ATF2828,Fibrex clad wood tansom window,3,2,3,2
"31-1/4"" x 35-1/4""",31.25,35.25,ATF2830,Fibrex clad wood tansom window,3,3,3,3
"31-1/4"" x 39-1/4""",31.25,39.25,ATF2834,Fibrex clad wood tansom window,3,3,3,3
"33-1/4"" x 11-1/4""",33.25,11.25,ATF21010,Fibrex clad wood tansom window,3,1,3,1
"33-1/4"" x 15-1/4""",33.25,15.25,ATF21014,Fibrex clad wood tansom window,3,1,3,1
"33-1/4"" x 17-1/4""",33.25,17.25,ATF21016,Fibrex clad wood tansom window,3,1,3,1
"33-1/4"" x 19-1/4""",33.25,19.25,ATF21018,Fibrex clad wood tansom window,3,1,3,1
"33-1/4"" x 21-1/4""",33.25,21.25,ATF210110,Fibrex clad wood tansom window,3,1,3,1
