,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Top Sash Lights High##OTHER##,. . Bottom Sash Lights High##OTHER##
"33-5/8"" x 36-7/8""",33.625,36.875,TW28210,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 40-7/8""",33.625,40.875,TW2832,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 44-7/8""",33.625,44.875,TW2836,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 48-7/8""",33.625,48.875,TW28310,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 52-7/8""",33.625,52.875,TW2842,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 56-7/8""",33.625,56.875,TW2846,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 60-7/8""",33.625,60.875,TW28410,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 64-7/8""",33.625,64.875,TW2852,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 68-7/8""",33.625,68.875,TW2856,Vinyl-clad wood double hung window,3,3,3
"33-5/8"" x 72-7/8""",33.625,72.875,TW28510,Vinyl-clad wood double hung window,3,3,3
"33-5/8"" x 76-7/8""",33.625,76.875,TW2862,Vinyl-clad wood double hung window,3,3,3
"33-5/8"" x 88-7/8""",33.625,88.875,TW2872,Vinyl-clad wood double hung window,3,3,3
"33-5/8"" x 92-7/8""",33.625,92.875,TW2876,Vinyl-clad wood double hung window,3,3,3
"35-5/8"" x 36-7/8""",35.625,36.875,TW210210,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 40-7/8""",35.625,40.875,TW21032,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 44-7/8""",35.625,44.875,TW21036,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 48-7/8""",35.625,48.875,TW210310,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 52-7/8""",35.625,52.875,TW21042,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 56-7/8""",35.625,56.875,TW21046,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 60-7/8""",35.625,60.875,TW210410,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 64-7/8""",35.625,64.875,TW21052,Vinyl-clad wood double hung window,3,2,2
"35-5/8"" x 68-7/8""",35.625,68.875,TW21056,Vinyl-clad wood double hung window,3,3,3
"35-5/8"" x 72-7/8""",35.625,72.875,TW210510,Vinyl-clad wood double hung window,3,3,3
"35-5/8"" x 76-7/8""",35.625,76.875,TW21062,Vinyl-clad wood double hung window,3,3,3
"35-5/8"" x 88-7/8""",35.625,88.875,TW21072,Vinyl-clad wood double hung window,3,3,3
"35-5/8"" x 92-7/8""",35.625,92.875,TW21076,Vinyl-clad wood double hung window,3,3,3
"37-5/8"" x 36-7/8""",37.625,36.875,TW30210,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 40-7/8""",37.625,40.875,TW3032,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 44-7/8""",37.625,44.875,TW3036,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 48-7/8""",37.625,48.875,TW30310,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 52-7/8""",37.625,52.875,TW3042,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 56-7/8""",37.625,56.875,TW3046,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 60-7/8""",37.625,60.875,TW30410,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 64-7/8""",37.625,64.875,TW3052,Vinyl-clad wood double hung window,4,2,2
"37-5/8"" x 68-7/8""",37.625,68.875,TW3056,Vinyl-clad wood double hung window,4,3,3
"37-5/8"" x 72-7/8""",37.625,72.875,TW30510,Vinyl-clad wood double hung window,4,3,3
"37-5/8"" x 76-7/8""",37.625,76.875,TW3062,Vinyl-clad wood double hung window,4,3,3
"37-5/8"" x 88-7/8""",37.625,88.875,TW3072,Vinyl-clad wood double hung window,4,3,3
"37-5/8"" x 92-7/8""",37.625,92.875,TW3076,Vinyl-clad wood double hung window,4,3,3
"41-5/8"" x 36-7/8""",41.625,36.875,TW34210,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 40-7/8""",41.625,40.875,TW3432,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 44-7/8""",41.625,44.875,TW3436,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 48-7/8""",41.625,48.875,TW34310,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 52-7/8""",41.625,52.875,TW3442,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 56-7/8""",41.625,56.875,TW3446,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 60-7/8""",41.625,60.875,TW34410,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 64-7/8""",41.625,64.875,TW3452,Vinyl-clad wood double hung window,4,2,2
"41-5/8"" x 68-7/8""",41.625,68.875,TW3456,Vinyl-clad wood double hung window,4,3,3
"41-5/8"" x 72-7/8""",41.625,72.875,TW34510,Vinyl-clad wood double hung window,4,3,3
"41-5/8"" x 76-7/8""",41.625,76.875,TW3462,Vinyl-clad wood double hung window,4,3,3
"41-5/8"" x 88-7/8""",41.625,88.875,TW3472,Vinyl-clad wood double hung window,4,3,3
"41-5/8"" x 92-7/8""",41.625,92.875,TW3476,Vinyl-clad wood double hung window,4,3,3
"45-5/8"" x 36-7/8""",45.625,36.875,TW38210,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 40-7/8""",45.625,40.875,TW3832,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 44-7/8""",45.625,44.875,TW3836,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 48-7/8""",45.625,48.875,TW38310,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 52-7/8""",45.625,52.875,TW3842,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 56-7/8""",45.625,56.875,TW3846,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 60-7/8""",45.625,60.875,TW38410,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 64-7/8""",45.625,64.875,TW3852,Vinyl-clad wood double hung window,4,2,2
"45-5/8"" x 68-7/8""",45.625,68.875,TW3856,Vinyl-clad wood double hung window,4,3,3
"45-5/8"" x 72-7/8""",45.625,72.875,TW38510,Vinyl-clad wood double hung window,4,3,3
"45-5/8"" x 76-7/8""",45.625,76.875,TW3862,Vinyl-clad wood double hung window,4,3,3
"45-5/8"" x 88-7/8""",45.625,88.875,TW3872,Vinyl-clad wood double hung window,4,3,3
"45-5/8"" x 92-7/8""",45.625,92.875,TW3876,Vinyl-clad wood double hung window,4,3,3
