,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"59-5/16"" x 72-7/8""",59.3125,72.875,DHP410510,Vinyl-clad wood tilt-wash picture window,6,6,6,6
"59-5/16"" x 76-7/8""",59.3125,76.875,DHP41062,Vinyl-clad wood tilt-wash picture window,6,6,6,6
"67-5/16"" x 48-7/8""",67.3125,48.875,DHP56310,Vinyl-clad wood tilt-wash picture window,6,4,6,4
"67-5/16"" x 52-7/8""",67.3125,52.875,DHP5642,Vinyl-clad wood tilt-wash picture window,6,4,6,4
"67-5/16"" x 56-7/8""",67.3125,56.875,DHP5646,Vinyl-clad wood tilt-wash picture window,6,4,6,4
"67-5/16"" x 60-7/8""",67.3125,60.875,DHP56410,Vinyl-clad wood tilt-wash picture window,6,4,6,4
"67-5/16"" x 64-7/8""",67.3125,64.875,DHP5652,Vinyl-clad wood tilt-wash picture window,6,4,6,4
"67-5/16"" x 68-7/8""",67.3125,68.875,DHP5656,Vinyl-clad wood tilt-wash picture window,6,6,6,6
"67-5/16"" x 72-7/8""",67.3125,72.875,DHP56510,Vinyl-clad wood tilt-wash picture window,6,6,6,6
"67-5/16"" x 76-7/8""",67.3125,76.875,DHP5662,Vinyl-clad wood tilt-wash picture window,6,6,6,6
